"filename", "language", "YAML", "Properties", "C++", "Dart", "XML", "JSON", "Markdown", "Swift", "HTML", "comment", "blank", "total"
"/Applications/projects/flutter_projects/firedrop/lib/models/user_stats_model.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"/Applications/projects/flutter_projects/firedrop/lib/models/users_model.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 6, 76
"/Applications/projects/flutter_projects/firedrop/lib/models/video_model.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"/Applications/projects/flutter_projects/firedrop/lib/presentation/providers/auth_providers.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 5, 36
"/Applications/projects/flutter_projects/firedrop/lib/presentation/providers/team_providers.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Applications/projects/flutter_projects/firedrop/lib/presentation/providers/tournament_providers.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 8, 21, 102
"/Applications/projects/flutter_projects/firedrop/lib/presentation/providers/video_providers.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/home_screen.dart", "Dart", 0, 0, 0, 278, 0, 0, 0, 0, 0, 21, 23, 322
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/login_screen.dart", "Dart", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 20, 231
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/organizer_dashboard_screen.dart", "Dart", 0, 0, 0, 1608, 0, 0, 0, 0, 0, 30, 74, 1712
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/profile_screen.dart", "Dart", 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 11, 214
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/signup_screen.dart", "Dart", 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 26, 186
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/splash_screen.dart", "Dart", 0, 0, 0, 190, 0, 0, 0, 0, 0, 7, 25, 222
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/create_room_screen.dart", "Dart", 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 16, 253
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/join_room_screen.dart", "Dart", 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 18, 239
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/registration_success_screen.dart", "Dart", 0, 0, 0, 177, 0, 0, 0, 0, 0, 1, 10, 188
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/team_selection/team_selection_screen.dart", "Dart", 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 8, 179
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/tournament_screen.dart", "Dart", 0, 0, 0, 715, 0, 0, 0, 0, 0, 15, 28, 758
"/Applications/projects/flutter_projects/firedrop/lib/presentation/screens/videos_screen.dart", "Dart", 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 25, 354
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/animations/animated_tournament_card.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 12, 64
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/home/section_header.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 4, 63
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/home_chips.dart", "Dart", 0, 0, 0, 113, 0, 0, 0, 0, 0, 2, 10, 125
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/home_header.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/loading_shimmer.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 7, 67
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/main_bottom_nav.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/match_card.dart", "Dart", 0, 0, 0, 95, 0, 0, 0, 0, 0, 4, 13, 112
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/pulsing_dot.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 56
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/states/empty_state.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"/Applications/projects/flutter_projects/firedrop/lib/presentation/widgets/states/error_state.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"/Applications/projects/flutter_projects/firedrop/lib/repositories/team_repository.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 7, 35
"/Applications/projects/flutter_projects/firedrop/lib/repositories/tournament_repository.dart", "Dart", 0, 0, 0, 74, 0, 0, 0, 0, 0, 8, 24, 106
"/Applications/projects/flutter_projects/firedrop/lib/repositories/video_repository.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"/Applications/projects/flutter_projects/firedrop/lib/services/auth_service.dart", "Dart", 0, 0, 0, 60, 0, 0, 0, 0, 0, 3, 15, 78
"/Applications/projects/flutter_projects/firedrop/lib/services/team_service.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 14, 69
"/Applications/projects/flutter_projects/firedrop/lib/services/tournament_service.dart", "Dart", 0, 0, 0, 109, 0, 0, 0, 0, 0, 9, 32, 150
"/Applications/projects/flutter_projects/firedrop/lib/services/video_service.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"/Applications/projects/flutter_projects/firedrop/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 5, 16
"/Applications/projects/flutter_projects/firedrop/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Applications/projects/flutter_projects/firedrop/linux/runner/main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Applications/projects/flutter_projects/firedrop/linux/runner/my_application.cc", "C++", 0, 0, 94, 0, 0, 0, 0, 0, 0, 26, 29, 149
"/Applications/projects/flutter_projects/firedrop/linux/runner/my_application.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Applications/projects/flutter_projects/firedrop/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 4, 23
"/Applications/projects/flutter_projects/firedrop/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Applications/projects/flutter_projects/firedrop/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"/Applications/projects/flutter_projects/firedrop/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/Applications/projects/flutter_projects/firedrop/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Applications/projects/flutter_projects/firedrop/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Applications/projects/flutter_projects/firedrop/pubspec.yaml", "YAML", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"/Applications/projects/flutter_projects/firedrop/test/widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"/Applications/projects/flutter_projects/firedrop/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 8, 39
"/Applications/projects/flutter_projects/firedrop/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"/Applications/projects/flutter_projects/firedrop/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 5, 24
"/Applications/projects/flutter_projects/firedrop/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Applications/projects/flutter_projects/firedrop/windows/runner/flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Applications/projects/flutter_projects/firedrop/windows/runner/flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Applications/projects/flutter_projects/firedrop/windows/runner/main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Applications/projects/flutter_projects/firedrop/windows/runner/resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Applications/projects/flutter_projects/firedrop/windows/runner/utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Applications/projects/flutter_projects/firedrop/windows/runner/utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Applications/projects/flutter_projects/firedrop/windows/runner/win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Applications/projects/flutter_projects/firedrop/windows/runner/win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 54, 7, 577, 6853, 521, 278, 13, 65, 31, 368, 935, 9702
